Date,Type,ID,Filter,Filter_wt,Dry_wt,Ashed_wt,Vol_Sampled,Vol_Filtered
6/14/2022,Inside,i1,J540,86.298,89.032,88.277,1000,300
6/14/2022,Inside,i2,J541,86.371,88.69,87.924,1000,300
6/14/2022,Inside,i3,J542,85.614,88.329,87.529,1000,300
6/14/2022,Outside,o1,J543,87.22,91.014,90.111,1000,300
6/14/2022,Outside,o2,J544,87.181,90.471,89.628,1000,301
6/14/2022,Outside,o3,J545,85.249,87.525,86.759,1000,300
6/14/2022,True Blank,tb1,J546,86.39,86.52,86.294,,
6/14/2022,True Blank,tb2,J547,85.406,85.547,85.315,,
6/14/2022,True Blank,tb3,J526,85.728,85.864,85.651,,
6/14/2022,Formate Blank,fb1,J527,85.93,86.038,85.82,,
6/14/2022,Formate Blank,fb2,J528,85.524,85.678,85.441,,
6/14/2022,Formate Blank,fb3,J529,85.686,85.832,85.545,,
7/6/2022,Inside,i1,J556,86.851,90.033,89.082,1000,300
7/6/2022,Inside,i2,J557,85.89,89.783,88.621,1000,300
7/6/2022,Inside,i3,J558,85.256,88.297,87.367,1000,300
7/6/2022,Outside,o1,J553,85.997,88.101,87.338,1000,300
7/6/2022,Outside,o2,J554,87.066,90.232,89.226,1000,300
7/6/2022,Outside,o3,J555,85.252,87.897,87.053,1000,300
7/6/2022,True Blank,tb1,J548,86.399,86.535,86.289,,
7/6/2022,True Blank,tb2,J549,85.632,85.739,85.526,,
7/6/2022,True Blank,tb3,J609,85.879,86.039,85.831,,
7/6/2022,Formate Blank,fb1,J550,86.791,86.983,86.729,,
7/6/2022,Formate Blank,fb2,J551,86.06,86.189,86.189,,
7/6/2022,Formate Blank,fb3,J552,86.424,86.573,86.344,,
7/27/2022,Inside,i1,J515,84.532,88.419,87.367,1000,300
7/27/2022,Inside,i2,J516,86.541,89.306,88.462,1000,300
7/27/2022,Inside,i3,J517,85.182,88.715,87.714,1000,300
7/27/2022,Outside,o1,J518,85.899,91.303,89.985,1000,300
7/27/2022,Outside,o2,J519,86.625,92.94,91.449,1000,300
7/27/2022,Outside,o3,J520,85.438,91.095,89.844,1000,300
7/27/2022,True Blank,tb1,J524,85.734,85.89,85.67,,
7/27/2022,True Blank,tb2,J525,85.057,85.214,84.996,,
7/27/2022,True Blank,tb3,J530,85.753,85.898,85.674,,
7/27/2022,Formate Blank,fb1,J521,85.719,85.978,85.734,,
7/27/2022,Formate Blank,fb2,J522,86.236,86.346,86.089,,
7/27/2022,Formate Blank,fb3,J523,86.474,86.602,86.35,,
8/16/2022,Inside,i1,J569,85.427,88.799,87.83,1000,300
8/16/2022,Inside,i2,J570,87.901,91.598,90.57,1000,300
8/16/2022,Inside,i3,J571,86.972,89.665,88.879,1000,300
8/16/2022,Outside,o1,J572,86.075,89.788,89.788,1000,300
8/16/2022,Outside,o2,J573,86.341,90.289,89.313,1000,300
8/16/2022,Outside,o3,J574,84.842,87.359,86.677,1000,300
8/16/2022,True Blank,tb1,J531,85.624,85.749,85.558,,
8/16/2022,True Blank,tb2,J578,86.997,87.149,86.904,,
8/16/2022,True Blank,tb3,J579,85.338,85.511,85.268,,
8/16/2022,Formate Blank,fb1,J575,85.278,85.411,85.179,,
8/16/2022,Formate Blank,fb2,J576,85.148,85.32,85.069,,
8/16/2022,Formate Blank,fb3,J577,85.205,85.368,85.368,,
9/15/2022,Inside,i1,J591,86.547,88.416,87.859,1000,300
9/15/2022,Inside,i2,J592,85.983,87.731,87.185,1000,300
9/15/2022,Inside,i3,J593,84.974,86.633,86.121,1000,300
9/15/2022,Outside,o1,J594,85.959,87.603,87.07,1000,300
9/15/2022,Outside,o2,J595,86.326,88.111,87.513,1000,300
9/15/2022,Outside,o3,J596,85.535,87.696,87.023,1000,300
9/15/2022,True Blank,tb1,J600,86.518,86.619,86.377,,
9/15/2022,True Blank,tb2,J611,85.63,85.758,85.426,,
9/15/2022,True Blank,tb3,J612,86.562,86.693,86.46,,
9/15/2022,Formate Blank,fb1,J597,86.456,86.572,86.34,,
9/15/2022,Formate Blank,fb2,J598,86.341,86.435,86.22,,
9/15/2022,Formate Blank,fb3,J599,86.178,86.07,85.813,,
10/17/2022,Inside,i1,J605,85.24,88.705,87.821,1000,300
10/17/2022,Inside,i2,J580,85.069,88.457,87.573,1000,300
10/17/2022,Inside,i3,J581,86.867,89.944,89.122,1000,300
10/17/2022,Outside,o1,J582,85.927,88.009,87.385,1000,300
10/17/2022,Outside,o2,J583,86.087,87.754,87.226,1000,300
10/17/2022,Outside,o3,J584,85.094,87.436,86.755,1000,300
10/17/2022,True Blank,tb1,J602,85.544,85.679,85.441,,
10/17/2022,True Blank,tb2,J603,85.72,85.846,85.617,,
10/17/2022,True Blank,tb3,J604,86.55,86.694,86.456,,
10/17/2022,Formate Blank,fb1,J585,86.019,86.11,85.86,,
10/17/2022,Formate Blank,fb2,J586,85.526,85.61,85.39,,
10/17/2022,Formate Blank,fb3,J587,85.236,85.336,85.097,,
