ISO 8601 Time,Temperature (C)
2022-06-09T13:55:44.000,22.6096
2022-06-09T14:05:44.000,19.2370
2022-06-09T14:15:44.000,17.3110
2022-06-09T14:25:44.000,16.7204
2022-06-09T14:35:44.000,16.3967
2022-06-09T14:45:44.000,15.2390
2022-06-09T14:55:44.000,14.6210
2022-06-09T15:05:44.000,14.5809
2022-06-09T15:15:44.000,14.5781
2022-06-09T15:25:44.000,14.6140
2022-06-09T15:35:44.000,14.6113
2022-06-09T15:45:44.000,14.5906
2022-06-09T15:55:44.000,14.6292
2022-06-09T16:05:44.000,14.6942
2022-06-09T16:15:44.000,14.7080
2022-06-09T16:25:44.000,14.6707
2022-06-09T16:35:44.000,14.6610
2022-06-09T16:45:44.000,14.6665
2022-06-09T16:55:44.000,14.6472
2022-06-09T17:05:44.000,14.6085
2022-06-09T17:15:44.000,14.6002
2022-06-09T17:25:44.000,14.6168
2022-06-09T17:35:44.000,14.6900
2022-06-09T17:45:44.000,14.7149
2022-06-09T17:55:44.000,14.5781
2022-06-09T18:05:44.000,14.5643
2022-06-09T18:15:44.000,14.5767
2022-06-09T18:25:44.000,14.5491
2022-06-09T18:35:44.000,14.5256
2022-06-09T18:45:44.000,14.5712
2022-06-09T18:55:44.000,14.5754
2022-06-09T19:05:44.000,14.5146
2022-06-09T19:15:44.000,14.5090
2022-06-09T19:25:44.000,14.4676
2022-06-09T19:35:44.000,14.4523
2022-06-09T19:45:44.000,nan
